IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
322654;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE HENRI CHRISTINE / 151X QUAI DE JEMMAPES;000201005;Platane;Platanus;x hispanica;;160;17;;NON;48.87781593828803,2.366121042544469
116365;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE EMMANUEL FLEURY / 40 RUE LE VAU;00000063;Platane;Platanus;x hispanica;;210;0;Adulte;NON;48.87080024458708,2.411596312664557
325151;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000102013;Platane;Platanus;x hispanica;;134;15;Adulte;NON;48.86892751903567,2.367043774417227
2014114;Arbre;Jardin;BOIS DE VINCENNES;;;UCPA / ROUTE DU POLYGONE;31310186;Platane;Platanus;x hispanica;;350;25;Adulte;NON;48.834624082485284,2.432263051071783
118717;Arbre;Jardin;PARIS 12E ARRDT;;;SQUARE ALBERT TOURNAIRE / 2 PLACE MAZAS;000101013;Platane;Platanus;x hispanica;;330;25;Adulte;NON;48.84504430289837,2.368019968418666
2013564;Arbre;Jardin;PARIS 1ER ARRDT;La Prairie - Bourse du commerce;;JARDIN NELSON MANDELA / 32 RUE BERGER;C00103006;Platane;Platanus;x hispanica;;120;10;Jeune (arbre)Adulte;NON;48.86271252697653,2.343802554655497
138743;Arbre;Jardin;PARIS 18E ARRDT;;;SQUARE CHARLES HERMITE;00000068;Platane;Platanus;x hispanica;;233;19;Mature;NON;48.89989092591652,2.36608736198693
115827;Arbre;Jardin;PARIS 19E ARRDT;;;JARDIN ANAIS NIN / 2 RUE JEAN OBERLE;000101013;Platane;Platanus;x hispanica;;0;0;;NON;48.89961296836776,2.370534660663032
325154;Arbre;Jardin;PARIS 10E ARRDT;;;SQUARE FREDERIC LEMAITRE / 27 RUE DU FAUBOURG DU TEMPLE;000102010;Platane;Platanus;x hispanica;;35;6;Jeune (arbre);NON;48.86906949619225,2.366934638344246
107027;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE DU GENERAL FERRIE;A00402003;Platane;Platanus;x hispanica;;20;5;;NON;48.856048498673175,2.296081669304275
107579;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00603020;Platane;Platanus;orientalis;;40;8;Jeune (arbre);NON;48.85684653600445,2.297385816999464
101240;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00001034;Platane;Platanus;x hispanica;;275;20;Mature;;48.837460002216474,2.378277899114345
